incident_administrative_unit,incident_county,incident_acres_burned,incident_longitude,incident_latitude,incident_type,calfire_incident,mean_temperature,Population,incident_days,month_extinguished
Santa Barbara County Fire,Santa Barbara,632.0,-120.454,34.609,Unknown,True,17.56163,445213,6.0,5
Marine Corps Base Camp Pendleton,San Diego,5367.0,-117.284889,33.3529,Unknown,False,23.890694,3289701,5.0,5
Marine Corps Base Camp Pendleton,San Diego,1457.0,-117.550567,33.417572,Unknown,False,20.0925,3289701,4.0,5
CAL FIRE San Diego Unit,San Diego,380.0,-117.162,33.312,Unknown,True,26.686167,3289701,1.0,5
CAL FIRE Shasta-Trinity Unit,Shasta,50.0,-122.721,40.39,Unknown,True,24.256332,181852,1.0,5
San Marcos Fire / CAL FIRE San Diego Unit / Elfin Forest Fire Dept,San Diego,1995.0,-117.1599,33.1137,Unknown,True,20.237547,3289701,8.0,5
Carlsbad Fire Department,San Diego,600.0,-117.279,33.1109,Unknown,False,23.460709,3289701,3.0,5
CAL FIRE Sonoma-Lake-Napa Unit,Lake,175.0,-122.5983,39.1647,Unknown,True,25.392832,68024,1.0,5
CAL FIRE Tuolumne-Calaveras Unit,Tuolumne,402.0,-120.45087,37.76617,Unknown,True,17.051582,54993,1.0,6
CAL FIRE Tuolumne-Calaveras Unit,Tuolumne,269.0,-120.452,37.787,Unknown,True,24.909124,54993,1.0,6
CAL FIRE Fresno-Kings Unit,Fresno,40.0,-119.525506,36.991825,Unknown,True,30.15778,1008280,2.0,6
CAL FIRE Madera-Mariposa-Merced Unit,Mariposa,130.0,-120.197,37.7103,Unknown,True,24.747126,17130,3.0,6
Sequoia National Forest,Kern,3895.0,-118.555527,35.70683,Unknown,False,15.536292,906883,7.0,6
CAL FIRE Tehama-Glenn Unit,Tehama,225.0,-122.345078,40.009827,Unknown,True,22.973999,65484,0.0,6
CAL FIRE Tuolumne Calaveras Unit,Calaveras,85.0,-120.66,38.058,Unknown,True,22.391277,45674,2.0,6
CAL FIRE Sonoma-Lake-Napa Unit,"Napa, Lake",4300.0,-122.454,38.664,Unknown,True,26.150215,205408,8.0,7
CAL FIRE Amador-El Dorado Unit,El Dorado,30.0,-120.703238,38.608336,Unknown,True,25.796501,191713,0.0,7
CAL FIRE Shasta-Trinity Unit,Shasta,12661.0,-122.750788,40.4314,Unknown,True,16.848688,181852,15.0,7
CAL FIRE Sonoma-Lake-Napa Unit,Yolo,6488.0,-122.104,38.512,Unknown,True,25.153593,217141,8.0,7
CAL FIRE Lassen-Modoc Unit / Modoc National Forest,Modoc,1469.0,-120.904,41.489,Unknown,True,24.953749,8651,4.0,7
Modoc National Forest,Modoc,1651.0,-120.79,41.89,Unknown,False,23.917974,8651,2.0,7
Shasta - Trinity National Forest,Trinity,15.0,-123.24,40.41,Unknown,False,23.898945,15889,2.0,7
CAL FIRE San Diego Unit,San Diego,217.0,-116.576454,33.078948,Unknown,True,25.01375,3289701,3.0,7
CAL FIRE Santa Clara Unit,Contra Costa,80.0,-121.5118,37.5359,Unknown,True,22.17304,1162648,1.0,7
CAL FIRE Shasta-Trinity Unit,Shasta,75.0,-121.3415,40.5719,Unknown,True,18.455374,181852,3.0,7
CAL FIRE San Benito-Monterey Unit,San Luis Obispo,47.0,-121.0226,35.8218,Unknown,True,23.800623,281712,1.0,7
CAL FIRE Nevada-Yuba-Placer,Nevada,38.0,-121.2687,39.1871,Unknown,True,28.103834,102322,1.0,7
CAL FIRE Shasta-Trinity Unit,Shasta,143.0,-122.2215,40.6569,Unknown,True,31.207083,181852,1.0,7
Sequoia National Forest,Kern,1680.0,-118.15,35.642,Unknown,False,22.879425,906883,10.0,7
CAL FIRE Butte Unit,Butte,72.0,-121.6129,39.4664,Unknown,True,30.121725,213605,2.0,7
CAL FIRE Amador-El Dorado Unit,"Amador, El Dorado",4240.0,-120.7819,38.5691,Wildfire,True,15.835731,232290,8.0,8
CAL FIRE Lassen-Modoc Unit / USFS - Lassen National Forest,Shasta,39736.0,-121.368,40.901,Unknown,True,22.263237,181852,16.0,8
